query,error_type,error_subtype,emotion,feedback_target,intended_learning_outcome
"SELECT Name, CASE WHEN Division = 'IT' THEN 'Tech' WHEN Division = 'HR' THEN FROM Employees;",syntax,incomplete query,happiness,"Good Attempt! However, your CASE expression is incomplete. Every WHEN must have a THEN value, and the CASE must end with END.",Understanding how to use CASE statements
SELECT Name FROM Employees WHERE EXISTS (SELECT 1 FROM Access_Codes);,syntax,incomplete query,calmness,Add a condition linking the subquery to the outer query.,Learning to complete subqueries
"SELECT Division, COUNT(*), MAX(Employee_ID) FROM Employees GROUP BY Division HAVING COUNT(*) > 2 AND;",syntax,incomplete query,anger,No worries! Your HAVING clause is incomplete. Just add AND to connect two conditions.,Understanding the correct usage of HAVING clauses
SELECT * FROM Employees e INNER JOIN Robots r ON e.Employee_ID;,syntax,incomplete query,neutral,"Your JOIN condition is incomplete. The ON clause must be a full condition, not just a column reference.",Learning to complete JOIN condition
"SELECT e.Division, COUNT(r.Robot_ID) FROM Employees e LEFT JOIN Robots r ON e.Employee_ID = r.Employee_ID GROUP BY;",syntax,incomplete query,sadness,"Don't worry, your GROUP BY clause is incomplete. You need to specify one or more columns to group by.",Understanding the correct usage of GROUP BY clauses
SELECT * FROM Logs l RIGHT JOIN ON l.Employee_ID = e.Employee_ID;,syntax,incomplete query,anger,No stress! You need to add the table name after RIGHT JOIN.,Learning to complete JOIN condition
SELECT * FROM Logs JOIN Robots;,syntax,incomplete query,neutral,"You're close! In SQL, JOIN must include an ON or USING clause to specify the join condition.",Learning to complete JOIN condition
SELECT * FROM Robots WHERE Manufacturing_Date >=;,syntax,incomplete query,happiness,Good start with SELECT! Just complete the WHERE condition.,Understanding that WHERE clauses require complete conditions
"SELECT Model, COUNT(*) FROM Robots WHERE Status = 'Active' GROUP BY;",syntax,incomplete query,calmness,You wrote GROUP BY without specifying a column. The GROUP BY clause must include one or more columns to group the results.,Learning that GROUP BY requires column specifications
"SELECT Status, CASE WHEN Status = 'Active' THEN 1 ELSE 0 FROM Robots;",syntax,incomplete query,sadness,"Don't worry, you're close! The CASE must end with END.",Understanding how to use CASE statements
SELECT * FROM Logs WHERE Action_Description LIKE;,syntax,incomplete query,calmness,Your WHERE clause is incomplete. The LIKE operator must be followed by a string pattern.,Understanding how to use LIKE pattern
"SELECT Employee_ID, Timestamp_of_Last_Use WHERE Level_of_Access = 'admin';",syntax,incomplete query,happiness,Good Start! But your query is incomplete. You used a WHERE clause without specifying the source table.,Understanding the importance of complete conditions in SQL queries
"SELECT * FROM Employees ORDER BY Division DESC,;",syntax,incomplete query,anger,"Don't stress about making mistakes. Your ORDER BY clause is incomplete. After the comma, you must specify another column to sort by.",Learning to complete ORDER BY clause
SELECT Description FROM Incidents WHERE Employee_ID AND Robot_ID = 11;,syntax,incomplete query,neutral,"In SQL, AND must connect two complete conditions.",Understanding the correct usage of the AND operator
DELETE FROM Employees WHERE Employee_ID;,syntax,incomplete query,calmness,Complete the WHERE condition in your deletion.,Understanding that WHERE clauses require complete conditions
SELECT DISTINCT e.Job_Role FROM Employees e INNER JOIN Robots r ON e.Employee_ID;,syntax,incomplete query,sadness,Don't worry! You need to complete the join condition in the ON clause.,Learning to complete JOIN condition
DELETE FROM Logs WHERE Timestamp IN ();,syntax,incomplete query,neutral,Your query is incomplete. The IN clause cannot be empty.,Understanding that WHERE clauses require complete conditions
SELECT l.Action_Description FROM Logs l WHERE l.Robot_ID IN (SELECT Robot_ID WHERE Status = 'Active');,syntax,incomplete query,happiness,Great start! You need to complete the subquery with specifying a table.,Learning to complete subqueries
SELECT Incident_ID FROM Incidents WHERE Description LIKE;,syntax,incomplete query,anger,No stress! Your WHERE clause is incomplete. You need to add a string pattern following the LIKE operator.,Understanding how to use LIKE pattern
"SELECT e.Name, COUNT(*) FROM Employees e RIGHT JOIN Access_Codes a ON e.Employee_ID = a.Employee_ID GROUP BY;",syntax,incomplete query,sadness,Don't worry about the incomplete query! You mix an aggregate with a non-aggregated column without a GROUP BY.,Understanding the importance of complete conditions in SQL queries
"SELECT l.Action_Description, i.Description FROM Logs l JOIN Incidents i ON;",syntax,incomplete query,calmness,Remember to complete the ON clause to specify the join condition.,Learning to complete JOIN condition
SELECT FROM Robots WHERE Status = 'Active' ORDER BY Manufacturing_Date DESC;,syntax,incomplete query,anger,No stress about the query! Your SELECT clause is incomplete. You must specify columns or use * before the FROM keyword.,Learning to complete SELECT statements
"INSERT INTO Employees (Employee_ID, Name, Job_Role, Division, Last_Login_Time) VALUES (103, 'John Doe', 'Developer', 'IT');",syntax,incomplete query,happiness,Great start with the INSERT!  But you need to pay attention that your INSERT statement lists 5 columns but provides only 4 values.,Learning to complete INSERT clauses
SELECT Incident_ID as FROM Incidents;,syntax,incomplete query,neutral,Your query is incomplete: the AS keyword must be followed by a valid alias name.,Understanding the importance of complete conditions in SQL queries
"SELECT l.Action_Description, e.Name FROM Logs l JOIN Employees e ON l.Employee_ID = e.Employee_ID WHERE;",syntax,incomplete query,calmness,Remember to complete the WHERE condition.,Understanding that WHERE clauses require complete conditions
"SELECT Employee_ID, (SELECT COUNT(*) FROM Robots WHERE Employee_ID = Employees.Employee_ID) as FROM Employees;",syntax,incomplete query,happiness,You're close! Remember that the subquery result must have a valid alias after AS.,Understanding the importance of complete conditions in SQL queries
SELECT * FROM Logs WHERE Employee_ID <>;,syntax,incomplete query,sadness,You are close! Cheer up! Just complete your WHERE condition.,Understanding that WHERE clauses require complete conditions
"SELECT Log_ID, Employee_ID, Action_Description as FROM Logs;",syntax,incomplete query,anger,Take a deep breath! You just need to add valid alias names following the AS keyword.,Understanding the importance of complete conditions in SQL queries
SELECT * FROM Logs WHERE Timestamp BETWEEN '2024-01-01';,syntax,incomplete query,neutral,Remember that the BETWEEN operator requires both a lower and an upper bound.,Understanding the need for complete BETWEEN clauses
"SELECT e.Name, l.Log_ID FROM Employees JOIN Logs ON e.Employee_ID = l.Employee_ID ORDER BY l.Timestamp;",syntax,incomplete query,sadness,"Don't worry about the mistake! You were close. You referenced the alias e, l without defining it in the FROM clause.",Learning to complete JOIN condition
"SELECT * FROM Access_Codes WHERE Access_Code_ID IN (3, 5,);",syntax,incomplete query,neutral,"The IN clause has a dangling comma, which makes the value list unfinished.",Understanding that WHERE clauses require complete conditions
"SELECT i.Incident_ID, r.Model, e.Name as FROM Incidents i JOIN Robots r ON i.Robot_ID = r.Robot_ID JOIN Employees e ON i.Employee_ID = e.Employee_ID;",syntax,incomplete query,calmness,You used AS for aliasing e.Name but did not provide a valid alias name.,Understanding the importance of complete conditions in SQL queries
SELECT * FROM Access_Codes WHERE Access_Code_ID >= 3 OR Employee_ID;,syntax,incomplete query,happiness,"Great start! Now, just complete OR clause in WHERE condition.",Understanding that WHERE clauses require complete conditions
SELECT * FROM Employees WHERE Division IN (SELECT FROM Employees);,syntax,incomplete query,anger,"Don't worry, I'm here to help! The subquery needs to select columns.",Learning to complete subqueries
SELECT * FROM Logs WHERE Timestamp = (SELECT MAX(Timestamp));,syntax,incomplete query,sadness,"Don't worry, you're close! The subquery with MAX(Timestamp) is missing a FROM clause.",Learning to complete subqueries
SELECT * FROM Incidents WHERE Robot_ID IN;,syntax,incomplete query,sadness,"It's tough when queries are left incomplete, try breaking down the conditions one by one to avoid feeling overwhelmed.",Learning to complete subqueries
SELECT * FROM Incidents WHERE Timestamp;,syntax,incomplete query,neutral,Remember to complete the WHERE condition.,Understanding that WHERE clauses require complete conditions
"SELECT Job_Role, COUNT(*) FROM Employees WHERE Division = 'HR' GROUP BY;",syntax,incomplete query,happiness,Great start! Try to complete the query with GROUP BY clause.,Understanding the importance of complete conditions in SQL queries
"SELECT Status, COUNT(*) FROM Robots GROUP BY Status HAVING;",syntax,incomplete query,happiness,Great attempt!  But this is an incomplete HAVING clause. Add condition.,Understanding the correct usage of HAVING clauses
SELECT Employee_ID WHERE Division = 'Finance';,syntax,incomplete query,calmness,"Missing tables, incomplete query.",Understanding the importance of complete conditions in SQL queries
"SELECT Name, COUNT(*) FROM Employees GROUP BY;",syntax,incomplete query,calmness,Add GROUP BY Name when using COUNT().,Understanding the importance of complete conditions in SQL queries
SELECT * FROM Employees WHERE;,syntax,incomplete query,sadness,"It's okay to feel overwhelmed, remember to always complete your queries for accurate results.",Understanding that WHERE clauses require complete conditions
SELECT * FROM Robots WHERE Status OR Model = 'RX-78';,syntax,incomplete query,neutral,Incomplete WHERE condition. Status requires a comparison operator and value.,Understanding that WHERE clauses require complete conditions
SELECT * FROM Robots WHERE Manufacturing_Date BETWEEN;,syntax,incomplete query,happiness,Nice try! Just finish your WHERE clause.,Understanding that WHERE clauses require complete conditions
SELECT * FROM Employees WHERE (Division = 'IT' AND Job_Role = 'Manager') OR;,syntax,incomplete query,anger,"It's okay to make mistakes, remember to always complete your queries for accurate results in WHERE clause.",Understanding that WHERE clauses require complete conditions
DELETE Incidents WHERE Incident_ID = 12;,syntax,incomplete query,neutral,"Your DELETE query is incomplete, you miss a keyword.",Understanding the importance of complete conditions in SQL queries
SELECT Employee_ID FROM Access_Codes BY Employee_ID;,syntax,incomplete query,happiness,Good Start! Pay attention that you need to use ORDER BY for ordering.,Learning to complete ORDER BY clause
SELECT Description FROM Incidents ORDER Robot_ID;,syntax,incomplete query,happiness,Great job exploring ordering in SQL! Remember to use ORDER BY.,Learning to complete ORDER BY clause
SELECT Name FROM Employees ORDER BY;,syntax,incomplete query,calmness,ORDER BY requires a column name. Add ORDER BY Name.,Learning to complete ORDER BY clause
SELECT * FROM Logs ORDER BY;,syntax,incomplete query,calmness,ORDER BY requires a column name. Add ORDER BY Name.,Learning to complete ORDER BY clause
"SELECT Employee_ID, Level_of_Access, COUNT(Access_Code_ID) FROM Access_Codes GROUP BY Employee_ID, Level_of_Access HAVING COUNT(Access_Code_ID);",syntax,incomplete query,anger,"Take a deep breath! Your HAVING clause is incomplete. HAVING must contain a boolean condition, not just the aggregate function alone.",Understanding the correct usage of HAVING clauses
"SELECT Employee_ID, Action_Description, COUNT(*) FROM Logs GROUP BY;",syntax,incomplete query,sadness,"Don't worry, it's an easy mistake! You cannot mix individual columns with aggregate functions without GROUP BY.",Understanding when GROUP BY is required with aggregate functions
SELECT * FROM Robots WHERE Status ORDER BY Model;,syntax,incomplete query,happiness,Good Attempt! Just remember to complete the WHERE condition.,Understanding that WHERE clauses require complete conditions
"SELECT Employee_ID, Name FROM Employees WHERE Job_Role IN ( SELECT DISTINCT Job_Role WHERE Division = 'Sales');",syntax,incomplete query,neutral,You need to complete your subquery for accurate results.,Learning to complete subqueries
"SELECT Robot_ID, COUNT(Employee_ID) FROM Logs GROUP BY Robot_ID HAVING COUNT(Employee_ID);",syntax,incomplete query,neutral,Your need to complete your HAVING clause.,Understanding the correct usage of HAVING clauses
"SELECT Employee_ID, Name FROM Employees WHERE Job_Role IN (SELECT DISTINCT Job_Role FROM Employees WHERE DISTINCT Division = 'Sales');",syntax,incorrect DISTINCT usage,happiness,"You're close! But, you don't need DISTINCT in the WHERE clause in your subquery.","Learning that DISTINCT modifies SELECT, not WHERE conditions"
"SELECT Employee_ID, COUNT(DISTINCT Action_Description) AS Action_Count FROM Logs GROUP BY DISTINCT Employee_ID;",syntax,incorrect DISTINCT usage,sadness,Don't worry! DISTINCT can't be used in GROUP BY.,Distinguishing between DISTINCT and GROUP BY usage
SELECT DISTINCT * FROM Robots AS r INNER JOIN Employees AS e ON r.Employee_ID = e.Employee_ID WHERE r.Status = 'active' ORDER BY r.Model DISTINCT;,syntax,incorrect DISTINCT usage,calmness,Calm down! DISTINCT can't be used in the ORDER BY clause.,Learning correct DISTINCT usage with ORDER BY clause
SELECT * FROM Logs WHERE Employee_ID IN (DISTINCT SELECT Employee_ID FROM Robots);,syntax,incorrect DISTINCT usage,anger,No need to stress! DISTINCT should come right after SELECT in your subquery.,Learning correct DISTINCT positioning
"SELECT DISTINCT Robot_ID, DISTINCT Employee_ID FROM Incidents;",syntax,incorrect DISTINCT usage,neutral,Try to avoid using DISTINCT twice in the same query.,Learning correct DISTINCT syntax
SELECT DISTINCT * FROM Employees ORDER BY Name DISTINCT;,syntax,incorrect DISTINCT usage,sadness,Don't worry about syntax! DISTINCT can't be used in ORDER BY clause.,Learning correct DISTINCT usage with ORDER BY clause
"SELECT Name, DISTINCT Job_Role FROM Employees WHERE Employee_ID IN (101, 102, 103);",syntax,incorrect DISTINCT usage,calmness,"DISTINCT should come right after SELECT, not in the middle of column list.",Learning correct DISTINCT positioning
"SELECT DISTINCT e.Name, r.Model, r.Status FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID WHERE DISTINCT r.Status IN ('active', 'maintenance');",syntax,incorrect DISTINCT usage,happiness,"Great use of JOIN syntax! However, you can't use DISTINCT in the WHERE clause.","Learning that DISTINCT modifies SELECT, not WHERE conditions"
"SELECT Employee_ID, Name FROM Employees JOIN Robots ON DISTINCT Employees.Employee_ID = Robots.Employee_ID;",syntax,incorrect DISTINCT usage,anger,No need to stress! DISTINCT can't be used in JOIN conditions.,Understanding the difference between DISTINCT and JOIN conditions
"SELECT Employee_ID, DISTINCT COUNT(Action_Description) FROM Logs GROUP BY Employee_ID;",syntax,incorrect DISTINCT usage,neutral,"Remember, DISTINCT goes inside the parentheses to count unique values.",Learning correct DISTINCT positioning
UPDATE Employees SET DISTINCT Job_Role = 'Senior Developer' WHERE Division = 'IT';,syntax,incorrect DISTINCT usage,calmness,"Remember, DISTINCT is used in the SELECT clause, not in the SET clause.",Learning correct DISTINCT syntax
"SELECT i.Incident_ID, e.Name FROM Incidents i JOIN Employees e ON DISTINCT i.Employee_ID = e.Employee_ID;",syntax,incorrect DISTINCT usage,sadness,"Don't worry, it's an easy mistake! DISTINCT can't be used in JOIN conditions.",Understanding the difference between DISTINCT and JOIN conditions
SELECT Robot_ID AS DISTINCT robot_number FROM Robots;,syntax,incorrect DISTINCT usage,happiness,"Good attempt! However, DISTINCT is a SQL keyword for removing duplicates, not for naming columns.",Learning correct DISTINCT syntax
"SELECT Employee_ID, COUNT(*) FROM DISTINCT Incidents GROUP BY Employee_ID;",syntax,incorrect DISTINCT usage,neutral,DISTINCT cannot be used in the FROM clause. It should be placed after SELECT to remove duplicate rows.,Learning correct DISTINCT positioning
"SELECT DISTINCT e.Employee_ID, ac.Level_of_Access FROM Access_Codes ac JOIN Employees e ON ac.Employee_ID = e.Employee_ID ORDER BY DISTINCT ac.Level_of_Access;",syntax,incorrect DISTINCT usage,anger,"Don't worry! Remember, DISTINCT can't be used in the ORDER BY clause! Try removing it to fix the query.",Learning correct DISTINCT usage with ORDER BY clause
DELETE DISTINCT FROM Robots WHERE Status = 'broken';,syntax,incorrect DISTINCT usage,calmness,DISTINCT cannot be used with a DELETE statement.,Learning correct DISTINCT syntax
"SELECT r.Employee_ID, r.Robot_ID FROM Logs l JOIN Robots r ON l.Employee_ID = r.Employee_ID WHERE DISTINCT l.Action_Description = 'Login';",syntax,incorrect DISTINCT usage,anger,Don't stress! You can't use DISTINCT in the WHERE clause. Try to remove it.,"Learning that DISTINCT modifies SELECT, not WHERE conditions"
"SELECT DISTINCT e.Name, ac.Level_of_Access FROM Employees e JOIN Access_Codes ac ON e.Employee_ID = ac.Employee_ID ORDER BY DISTINCT ac.Level_of_Access;",syntax,incorrect DISTINCT usage,happiness,"Great job on the JOIN! However, you can't use DISTINCT in the ORDER BY clause.",Learning correct DISTINCT usage with ORDER BY clause
SELECT * FROM DISTINCT Incidents;,syntax,incorrect DISTINCT usage,calmness,DISTINCT cannot be used in the FROM clause. It should be placed after SELECT to remove duplicate rows.,Learning correct DISTINCT positioning
"SELECT Job_Role, DISTINCT Division FROM Employees ORDER BY Job_Role LIMIT 10;",syntax,incorrect DISTINCT usage,sadness,Don't worry about DISTINCT complexity! Move DISTINCT after SELECT.,Learning correct DISTINCT positioning
"SELECT Model, COUNT(*) AS ActiveCount FROM Robots WHERE DISTINCT Status = 'active' GROUP BY Model;",syntax,incorrect DISTINCT usage,anger,No need to stress! DISTINCT can't be used in WHERE.,"Learning that DISTINCT modifies SELECT, not WHERE conditions"
DELETE FROM Logs WHERE DISTINCT Employee_ID IN (SELECT Employee_ID FROM Employees WHERE Division = 'Terminated');,syntax,incorrect DISTINCT usage,happiness,"Good job on the subquery! However, DISTINCT belongs in SELECT, not WHERE.","Learning that DISTINCT modifies SELECT, not WHERE conditions"
SELECT * FROM Logs WHERE Action_Description IN (SELECT Action_Description DISTINCT FROM Logs WHERE Employee_ID = 123);,syntax,incorrect DISTINCT usage,neutral,DISTINCT should come right after SELECT in your subquery.,Learning correct DISTINCT positioning
UPDATE Access_Codes SET Level_of_Access = 'Restricted' WHERE Employee_ID IN (DISTINCT SELECT Employee_ID FROM Incidents WHERE Description LIKE '%security%');,syntax,incorrect DISTINCT usage,calmness,"When using subqueries, make sure to check if DISTINCT is in the right place.",Learning correct DISTINCT positioning
"SELECT Employee_ID, COUNT(Status DISTINCT)  FROM Robots GROUP BY Employee_ID;",syntax,incorrect DISTINCT usage,happiness,You are on the right track! Remember the column name should come after DISTINCT.,Learning correct DISTINCT positioning
"SELECT Description, Robot_ID DISTINCT FROM Incidents WHERE Employee_ID = 5;",syntax,incorrect DISTINCT usage,sadness,"Don't worry, it's an easy mistake! Move DISTINCT after SELECT.",Learning correct DISTINCT positioning
"SELECT Employee_ID, Level_of_Access FROM DISTINCT Access_Codes;",syntax,incorrect DISTINCT usage,neutral,DISTINCT cannot be used in the FROM clause. It should be placed after SELECT to remove duplicate rows.,Learning correct DISTINCT positioning
"SELECT Robot_ID, Model FROM Robots WHERE Status = 'active' LIMIT DISTINCT 7;",syntax,incorrect DISTINCT usage,anger,Don't get frustrated! LIMIT only needs a number.,Learning correct DISTINCT syntax
"SELECT Employee_ID, DISTINCT COUNT(Status) FROM Robots GROUP BY Employee_ID;",syntax,incorrect DISTINCT usage,sadness,"You're close! Remember, DISTINCT goes inside the parentheses to count unique status values.",Learning correct DISTINCT positioning
"SELECT Employee_ID, COUNT(*) FROM Logs GROUP BY Employee_ID HAVING COUNT(*) > 5 ORDER BY DISTINCT Employee_ID;",syntax,incorrect DISTINCT usage,calmness,"Good job on using GROUP BY and HAVING! However, you don't need DISTINCT in the ORDER BY clause.",Learning correct DISTINCT usage with ORDER BY clause
"SELECT Employee_ID AS DISTINCT user_id, Timestamp AS DISTINCT log_time FROM Logs;",syntax,incorrect DISTINCT usage,anger,"Don't stress! Remember, DISTINCT is a SQL keyword for removing duplicates, not for naming columns.",Learning correct DISTINCT syntax
SELECT DISTINCT Employee_ID FROM Incidents LIMIT DISTINCT 12;,syntax,incorrect DISTINCT usage,neutral,LIMIT only needs a number.,Learning correct DISTINCT syntax
SELECT Employee_ID FROM DISTINCT Employees UNION SELECT Employee_ID FROM DISTINCT Access_Codes;,syntax,incorrect DISTINCT usage,calmness,"Remember, DISTINCT should come right after SELECT, not in the FROM clause.",Learning correct DISTINCT positioning
"SELECT Employee_ID, COUNT(*) AS LoginCount FROM Logs WHERE Action_Description = 'Login' GROUP BY DISTINCT Employee_ID;",syntax,incorrect DISTINCT usage,anger,"Don't stress about grouping! You're close, but DISTINCT can't be used in GROUP BY.",Distinguishing between DISTINCT and GROUP BY usage
SELECT * FROM Robots WHERE Status = 'active' AND Model IN (SELECT DISTINCT Model FROM Robots WHERE DISTINCT Manufacturing_Date > '2020-01-01');,syntax,incorrect DISTINCT usage,happiness,"Great job on using subqueries! However, you don't need DISTINCT in the WHERE clause in the subquery.","Learning that DISTINCT modifies SELECT, not WHERE conditions"
"SELECT * FROM Incidents WHERE DISTINCT Timestamp IN ('2020-01-01', '2022-06-15', '2024-12-31');",syntax,incorrect DISTINCT usage,sadness,"Don't worry about DISTINCT! Remember, DISTINCT belongs in SELECT, not WHERE.","Learning that DISTINCT modifies SELECT, not WHERE conditions"
"SELECT Employee_ID, COUNT(Incident_ID) FROM Incidents GROUP BY Employee_ID HAVING DISTINCT COUNT(Incident_ID) > 5;",syntax,incorrect DISTINCT usage,neutral,"You're close, but the HAVING clause doesn't need DISTINCT.",Learning correct DISTINCT syntax with HAVING
SELECT Employee_ID FROM Access_Codes WHERE DISTINCT Level_of_Access = 'Guest';,syntax,incorrect DISTINCT usage,sadness,"Don't worry, it's easy to get confused! DISTINCT can't be used in the WHERE clause like that.","Learning that DISTINCT modifies SELECT, not WHERE conditions"
"SELECT l.Action_Description, e.Name FROM Logs l LEFT JOIN DISTINCT Employees e ON l.Employee_ID = e.Employee_ID;",syntax,incorrect DISTINCT usage,calmness,"You're close! However, DISTINCT can't modify table names in JOINs.",Understanding the difference between DISTINCT and JOIN conditions
SELECT Access_Code_ID AS DISTINCT code_id FROM Access_Codes;,syntax,incorrect DISTINCT usage,happiness,"Good attempt! However, DISTINCT is a SQL keyword for removing duplicates, not for naming columns.",Learning correct DISTINCT syntax
"SELECT Employee_ID, Job_Role FROM Employees WHERE Employee_ID IN (SELECT DISTINCT Employee_ID FROM Incidents WHERE DISTINCT Description LIKE '%malfunction%');",syntax,incorrect DISTINCT usage,neutral,"You're on the right track! However, you don't need DISTINCT in the WHERE clause in the subquery.","Learning that DISTINCT modifies SELECT, not WHERE conditions"
"SELECT Level_of_Access, COUNT(*) AS Access_Count FROM Access_Codes GROUP BY Level_of_Access HAVING DISTINCT COUNT(*) > 1;",syntax,incorrect DISTINCT usage,anger,"Don't stress! You're close, but the HAVING clause doesn't need DISTINCT.",Learning correct DISTINCT syntax with HAVING
"SELECT DISTINCT, Name FROM Employees;",syntax,incorrect DISTINCT usage,anger,Stay calm - just remove the comma after DISTINCT.,Learning correct DISTINCT syntax
SELECT DISTINCT( Name ) FROM Employees;,syntax,incorrect DISTINCT usage,calmness,DISTINCT doesn't use parentheses.,Learning correct DISTINCT syntax
"SELECT Name, DISTINCT Division FROM Employees;",syntax,incorrect DISTINCT usage,sadness,"It's tough, but understanding the correct placement of DISTINCT is crucial.",Learning correct DISTINCT positioning
"SELECT Action_Description, DISTINCT Timestamp FROM Logs;",syntax,incorrect DISTINCT usage,calmness,Let's review the correct placement of DISTINCT.,Learning correct DISTINCT positioning
SELECT DISTINCT ALL ac.Level_of_Access FROM Access_Codes ac;,syntax,incorrect DISTINCT usage,happiness,"Great job exploring DISTINCT! However, you cannot use DISTINCT and ALL together.",Learning correct DISTINCT syntax
"SELECT  i.Description, i.Robot_ID, COUNT(*)  FROM Incidents i GROUP BY DISTINCT i.Description, i.Robot_ID;",syntax,incorrect DISTINCT usage,anger,Frustration can be a sign of learning! You are mixing DISTINCT and GROUP BY.,Distinguishing between DISTINCT and GROUP BY usage
SELECT i.Description FROM Incidents i RIGHT JOIN Robots r ON DISTINCT i.Robot_ID = r.Robot_ID;,syntax,incorrect DISTINCT usage,anger,Don't worry about mistakes. Remove DISTINCT from the ON condition.,Understanding the difference between DISTINCT and JOIN conditions
SELECT Name FROM Employees WHERE Employee_ID IN (SELECT MAX(Employee_ID) FROM DISTINCT Logs);,syntax,incorrect DISTINCT usage,calmness,Remove DISTINCT before table name in your subquery as DISTINCT is unnecessary.,Learning correct DISTINCT syntax
SELECT Name FROM Employees WHERE DISTINCT Division = 'IT';,syntax,incorrect DISTINCT usage,neutral,"DISTINCT goes in SELECT clause, not WHERE clause.","Learning that DISTINCT modifies SELECT, not WHERE conditions"
SELECT MIN(Access_Code_ID) FROM DISTINCT Access_Codes;,syntax,incorrect DISTINCT usage,anger,Don't worry! Remove DISTINCT. DISTINCT cannot be used in the FROM clause.,Learning correct DISTINCT syntax
SELECT COUNT DISTINCT(Employee_ID) FROM Access_Codes GROUP BY Level_of_Access;,syntax,incorrect DISTINCT usage,anger,Frustration can cloud judgment. Your query uses the wrong syntax for COUNT DISTINCT.,Learning correct DISTINCT syntax
"SELECT DISTINCT, r.Model FROM Robots r JOIN Incidents i ON r.Robot_ID = i.Robot_ID;",syntax,incorrect DISTINCT usage,sadness,"It's tough, but don't worry! Remove comma after DISTINCT.",Learning correct DISTINCT syntax
SELECT DISTINCT ALL Status FROM Robots;,syntax,incorrect DISTINCT usage,happiness,Great job exploring DISTINCT! Don't use DISTINCT and ALL together.,Learning correct DISTINCT syntax
"SELECT COUNT DISTINCT(Access_Code_ID), MIN(Employee_ID) FROM Access_Codes;",syntax,incorrect DISTINCT usage,calmness,Your query uses the wrong syntax for COUNT DISTINCT.,Learning correct DISTINCT syntax
"SELECT DISTINCT*, Action_Description FROM Logs;",syntax,incorrect DISTINCT usage,calmness,Let's review the use of DISTINCT in your SELECT clause.,Learning correct DISTINCT syntax
"DISTINCT SELECT Employee_ID, Model FROM Robots WHERE Status = 'Active';",syntax,incorrect DISTINCT usage,sadness,"Almost perfect! DISTINCT should come after SELECT, not before it.",Learning correct DISTINCT positioning
SELECT Robot_ID FROM Logs WHERE Action_Description = 'logout' ORDER BY DISTINCT Timestamp;,syntax,incorrect DISTINCT usage,anger,Keep calm! DISTINCT can't be used in ORDER BY clauses.,Learning correct DISTINCT usage with ORDER BY clause
"SELECT Robot_ID, Model FROM Robots UNION DISTINCT SELECT Employee_ID, Name FROM Employees;",syntax,incorrect DISTINCT usage,neutral,UNION DISTINCT is not a valid SQL syntax.,Learning correct DISTINCT syntax
"INSERT DISTINCT INTO Logs (Employee_ID, Action_Description, Timestamp, Robot_ID) VALUES (123, 'Login', '2025-10-11', 23);",syntax,incorrect DISTINCT usage,happiness,Good attempt! But DISTINCT can't be used with INSERT statements. DISTINCT is only for SELECT queries.,Learning correct DISTINCT syntax
"SELECT Employee_ID FROM Access_Codes WHERE DISTINCT Level_of_Access IN ('Admin', 'Manager');",syntax,incorrect DISTINCT usage,sadness,You're on the right track! But DISTINCT doesn't belong in WHERE clauses.,"Learning that DISTINCT modifies SELECT, not WHERE conditions"
SELECT Employee_ID FROM Logs WHERE Action_Description LIKE DISTINCT '%maintenance%';,syntax,incorrect DISTINCT usage,anger,Stay relaxed! DISTINCT can't be used with LIKE operators in WHERE clauses.,Learning correct DISTINCT syntax
"SELECT Employee_ID, DISTINCT Level_of_Access FROM Access_Codes;",syntax,incorrect DISTINCT usage,sadness,"Great effort! But DISTINCT affects the entire SELECT list, not individual columns.",Learning correct DISTINCT syntax
SELECT Robot_ID FROM Robots WHERE Status = 'Active' ORDER BY DISTINCT Manufacturing_Date;,syntax,incorrect DISTINCT usage,neutral,DISTINCT can't be used in ORDER BY clauses.,Learning correct DISTINCT usage with ORDER BY clause
SELECT Employee_ID ** Name FROM Employees WHERE Job_Role = 'Manager';,syntax,incorrect SELECT usage,neutral,"Remember to use a comma , instead of ** to select multiple columns.",Understanding correct usage of SELECT multiple columns
"SELECT * Employee_ID, Description FROM Incidents WHERE Robot_ID = 17;",syntax,incorrect SELECT usage,calmness,"You can use either SELECT * or SELECT  Employee_ID, Description. Mixing both is not allowed.",Understanding correct usage of SELECT multiple columns
SELECT Employee_ID emp_id FROM Employees;,syntax,incorrect SELECT usage,happiness,Good attempt! Just add 'AS' between Employee_ID and emp_id.,Learning proper alias syntax in SELECT clause
SELECT Employee_ID * Level_of_Access FROM Access_Codes;,syntax,incorrect SELECT usage,calmness,"Remember, in SQL, you can't use the * operator to combine columns in the SELECT clause.",Understanding correct usage of SELECT multiple columns
SELECT FROM Robots WHERE Model = 'X100';,syntax,incorrect SELECT usage,sadness,"Don't worry, it's an easy mistake! You are missing column list after SELECT.",Understanding correct usage of SELECT
SELECT Employee_ID. Action_Description. Robot_ID FROM Logs;,syntax,incorrect SELECT usage,anger,"Take a deep breath! You are on the right track, but you used dots instead of commas to separate columns.",Understanding correct usage of SELECT multiple columns
SELECT * FROM Incidents WHERE Robot_ID IN (FROM Robots SELECT Robot_ID WHERE Status = 'broken');,syntax,incorrect SELECT usage,happiness,"Great job on the subquery! However, the SELECT clause should come before the FROM clause.",Understanding correct SQL clause order
